t,y
0,1.113635607
0.033322222,1.113635607
0.066666667,1.113972707
0.099966667,1.112757963
0.133288889,1.105382598
0.1666,1.089399715
0.199933333,1.067193186
0.233244444,1.028143503
0.266566667,0.98001288
0.299888889,0.920998404
0.333211111,0.851839405
0.366522222,0.769227499
0.399844444,0.674423889
0.433166667,0.570300905
0.466488889,0.451957085
0.499811111,0.334854092
0.533133333,0.188161595
0.566455556,0.049092985
0.599766667,0.028422254
0.633088889,0.093018287
0.666411111,0.144695114
0.699744444,0.188787646
0.733055556,0.216917411
0.766377778,0.230030574
0.7997,0.234881795
0.833022222,0.22959268
0.866344444,0.213645091
0.899666667,0.184919365
0.932977778,0.146442597
0.9663,0.09851601
0.999622222,0.036415059
1.032944444,-0.002454979
1.066266667,0.03875762
1.099588889,0.051676826
1.132911111,0.056844509
1.166222222,0.053979371
1.199555556,0.036166111
1.232866667,0.007291543
1.266188889,0.004337831
1.299511111,0.004454103
1.332833333,0.014705679
1.366144444,0.008205192
1.399466667,0.007207322
1.4328,0.005241333
1.466122222,0.00610777